tournament/cyber-saga-13-una-nueva-era/event/ultimate-singles,Cyber Saga 13,Singles,,Salta,18/01/2025
tournament/cell-games-arena-8/event/ult-ladder,Cell Games Arena 8,Ladder,,Santa Fe,19/01/2025
tournament/cyber-saga-14/event/ultimate-singles,Cyber Saga 14,Singles,85424590|85424588|85424593|85424597|85424593|85424588|85424590|85424584|85424582|85424580|85424578|85424582|85424580|85424578|85424576|85424585|85433580,Salta,14/02/2025
tournament/otamania-4/event/singles,Otamania 4,Singles,85478396|85478406|85478408|85478417|85478506|85478512|85478518|85478528|85478544,Santa Fe,16/02/2025
tournament/to-the-top-14/event/ultimate-singles,To The Top 14,Singles,86094556|86094614|86099695|86099698|86099699|86099701|86099629,Buenos Aires,03/03/2025
tournament/cyber-saga-15/event/ultimate-singles,Cyber Saga 15,Singles,,Salta,16/03/2025
tournament/to-the-top-15/event/ultimate-singles,To The Top 15,Singles,87530210|87530276|87532246,Buenos Aires,06/04/2025
tournament/cell-games-arena-ultimate/event/singles,Cell Games Arena ULTIMATE,Singles,88377416|88377431|88377418|88377420|88377433|88377422|88377424|88377435|88377426|88377428|88377437|88377430|88377488|88377496|88377489|88377490|88377497|88377491|88377492|88377498|88377493|88377494|88377499|88377495,Santa Fe,27/04/2025
tournament/to-the-top-16/event/ultimate-singles,To The Top 16,Singles,,Buenos Aires,04/05/2025
tournament/cyber-saga-17/event/ultimate-singles,Cyber Saga 17,Singles,,Salta,18/05/2025
tournament/asado-cup/event/asado-cup-1,ASADO CUP,Singles,,Jujuy,31/05/2025
tournament/smash-con-coca/event/ultimate-singles,Smash con Coca,Singles,,Cordoba,31/05/2025
tournament/to-the-top-17/event/ultimate-singles,To The Top 17,Singles,90306916|90306918|90306983|90306984|90309718|90309720|90309722|90309750|90309751|90309752|90309753|90309754,Buenos Aires,15/06/2025
tournament/ragnarok-2025/event/ragnarok-ssbu,Ragnarok 2025,Singles,90860796|90860798|90860800|90860802|90860808|90860868|90860869|90860870|90860871|90860874,Cordoba,29/06/2025
tournament/to-the-top-18/event/ultimate-singles,To The Top 18,Singles,91332892|91332898|91332900|91332903|91332904|91332966|91332961|91332962|91332963|91332964|91332965|91332974|91332976|91332977|91332978|91332979|91332916,Buenos Aires,12/07/2025
tournament/cyber-saga-18/event/ultimate-singles,Cyber Saga 18,Singles,,Salta,20/07/2025
tournament/otamania-6/event/singles,Otamania 6,Singles,,Santa Fe,20/07/2025
tournament/smash-con-coca-2-2/event/ultimate-singles,Smash con Coca 2,Singles,92503233|92503270|92503277|92503381|92503389|92503397|92503394,Cordoba,09/08/2025
tournament/checkmate-showdown-bishop-s-game/event/general,Checkmate Showdown: Bishops Game,Singles,,Santa Fe,24/08/2025
tournament/llama-6-la-batalla-de-los-andes/event/ultimate-singles-llama-6,LLAMA 6: LA BATALLA DE LOS ANDES,Singles,93136299|93136302|93136418|93136421|93136423|93136717|93136714|93136716|93136776|93136773|93136775|93137195|93137196|93137198|93137200|93137201|93137202|93137203|93137204,Jujuy,16/08/2025
tournament/cyber-saga-19/event/ultimate-singles,Cyber Saga 19,Singles,93348113|93348048,Salta,31/08/2025
tournament/cyber-saga-road-to-caba/event/ultimate-singles,Cyber Saga: Road to CABA!,Singles,93633955,Salta,07/09/2025
tournament/to-the-top-19/event/ultimate-singles,To The Top 19,Singles,93899769|93899781|93899833|93899839|93907506|93907510|93907512|93907574|93907577,Buenos Aires,14/09/2025
tournament/santafe-championship/event/main-event,SantaFe Championship,Singles,93911913|93911917|93911918|93911919|93911920|93911925|93911926|93911927|93911979|93911980|93911981|93911983|93911984|93911985|93911988|93911992,Santa Fe,14/09/2025
tournament/noa-challengers-summit/event/ultimate-singles,NOA Challengers Summit,Singles,,Jujuy,14/09/2025
tournament/smash-con-coca-3/event/ultimate-singles,Smash con Coca 3,Singles,94415849|94415852|94415826|94415860|94415862|94415846|94415979|94415980|94415966|94415974|94415976|94415985,Cordoba,27/09/2025
